Route No,Origin,Destination
1,Jayanagar 9th block,Yeshvantapur Railway station
2,Petrol Pump,J.P.Nagar 6th Phase
2A,KBS (Majestic),IG - Indira Gandhi circle
2B,KBS(Majestic),Eliyas Nagar
2F,KBS(Majestic),Basaveshwaranagar
3B,J.P.Nagar 6th Phase,Jayanagar 9th Block
3E,Banashankari 3rd Stage 2nd Phase,BTM Layout
12,Banashankari 3rd Stage 2nd Phase,Banashankari
12A,KBS(Majestic),Banashankari 2nd Stage
12B,KBS (Majestic),Padmanabhnagar
12E,KBS(Majestic),Banashankari Bus Stand
13,KBS(Majestic),Shivajinagar
13B,KBS(Majestic),Shivajinagar
14,Banashankari,Malleshwaram Bus Station
15A,Padmanabhanagar,Padmanabhanagar
15E,Banashankari,Kumaraswamy Layout
21 (Pushpak),KR market,Mathikere
25,Majestic,BTM Layout (Kuvempunagar)
25 E,Banashankari,J.P.Nagar 3rd phase
26,KBS(majestic),Byrasandra
30,KBS (Majestic),Ganganagar
33E,KBS(Majestic),Kamalanagar
34,NR Colony,Shivajinagar
38,Banashankari 3rd Stage 2nd Phase,Domlur
41,Hosakerehalli,Gandhi Bazaar
43B,N R Colony,KBS (Majestic)
43E,Malleswaram Bus Station,Banashankari 3rd Stage 2nd Phase
44,Hosakerehalli,RT Nagar
57A,KBS(Majestic),Bapuji Nagar
59,Vijayanagar,K.R Market
60A,Jayanagar 9th Block,Vijayanagar
60E,BTM layout,Vijayanagar via 60A
61,KBS(Majestic),Vijaynagar
"61A,G",KBS(Majestic),Chandra Layout
61B,KBS(Majestic),Vijaynagar (Maruthi Mandir)
61C,KBS(Majestic),BCC layout
61J,KBS(Majestic),Chandra Layout 1st Stage
63,Shivajinagar,Vijaynagar
64,Shivajinagar,Hampinagar(RPC Layout)
65B,Banashankari,K.H.B.Colony
75,Malleshwaram 18th cross,Vijayanagar
75B,Mathikere,Vijayanagar
77B,N.R.Colony,Mahalakshmi Layout
77C,N.R.Colony,Nandini Layout
80A,Nandini Layout,KBS (Majestic)
80B,JaiMaruthinagar,KBS (Majestic)
80C,Goraguntepalya,KBS (Majestic)
86E,Jayanagar 9th Block,K.H.B.Colony
87,KBS(Majestic),Hampinagar
88,KBS(Majestic),Basaveshwara Nagar
88A,KBS(Majestic),Basaveshwara Nagar 3rd Stage
96,KBS(Majestic),KBS(Majestic)
90E,Majestic,Yeshvantapur Railway station
96A,KBS(Majestic),KBS(Majestic)
96B,KBS(Majestic),Kamala nagar
96C,KBS(Majestic),BEML layout
96D,KBS(Majestic),Kamala nagar
96F,KBS(Majestic),Kamala nagar
99E,Sadashivanagar,Bhimjyoti Nagar
100E,R.T.Nagar,Chowdeshwari/JP nagar bus station
107D,Kaval Byrasandra,BTM Layout
112E,Kaval Byrasandra,J.P.Nagar 3rd phase
115A,SultanPalya,BTM Layout
114E,KBS(Majestic),Banashankari
Route No,Origin,Destination
80A,Nandini Layout,KBS (Majestic)
80B,JaiMaruthinagar,KBS (Majestic)
80C,Goraguntepalya,KBS (Majestic)
86E,Jayanagar 9th Block,K.H.B.Colony
87,KBS(Majestic),Hampinagar
88,KBS(Majestic),Basaveshwara Nagar
88A,KBS(Majestic),Basaveshwara Nagar 3rd Stage
96,KBS(Majestic),KBS(Majestic)
90E,Majestic,Yeshvantapur Railway station
96A,KBS(Majestic),Kamala nagar
96B,KBS(Majestic),BEML layout
96C,KBS(Majestic),Kamala nagar
96D,KBS(Majestic),Kamala nagar
96F,KBS(Majestic),Bhimjyoti Nagar
99E,Sadashivanagar,Chowdeshwari/JP nagar bus station
100E,R.T.Nagar,BTM Layout
107D,Kaval Byrasandra,J.P.Nagar 3rd phase
112E,Kaval Byrasandra,BTM Layout
115A,SultanPalya,J.P.Nagar 3rd phase
114E,Kaval Byrasandra,Banashankari
115,KBS(Majestic),Padmanaba Nagar
119A,KBS(Majestic),Kormangala 1st Block
124,KBS(Majestic),Hampinagar
131,KBS(Majestic),Madivala Mosque (Madivala Ayyapa Temple)
131F,KBS(Majestic),Banashankari
137,Yeshvantapur,Padmanabhanagar
137A,Yeshvanthpur,Jayanagar 4th block
138,Kempegowda Bus Station,BTM Layout
138D,Kempegowda Bus Station,Jayanagar 9th block
139,Shivajinagar,Sultan Palya
144G,SultanPalya,Mathikere
144H,Nandini Layout,Chowdeshwarinagar a
144K,Kaval Byrasandra,Mahalakshmi Layout
162A,KBS (Majestic),Jeevan Bhima Nagar
173,Yeshvantapur,Jeevan Bhima Nagar via 190
173A,Mathikere,Sultan Palya
174,Koramangla,Srinagar
176,Kaval Byrasandra,Madivala Mosque (Madivala Ayyapa Temple)
180,K.H.B.Colony,Banashankari
181,Bhima Jyoti Nagar,Padmanaba Nagar
186,Nandini Layout,Kormangala 1st Block
188,Hosakerahalli,Hampinagar
188B,Chennamanakere Achukattu,Madivala Mosque (Madivala Ayyapa Temple)
189,J P Nagar 3rd phase,KBS(Majestic)
190,Srinagar,Padmanabhanagar
190A,Avalahalli,Kormangala 1st Block
197,BDA Park,Hampinagar
201,KBS(Majestic),Madivala Mosque (Madivala Ayyapa Temple)
201D,KBS(Majestic),Padmanabhanagar
201G,KBS(Majestic),Jayanagar 4th block
201J,KBS(Majestic),C V Raman Nagar
201H,KBS(Majestic),DRDO 2nd Phase
201M,KBS(Majestic),C V Raman Nagar
201MA,KBS(Majestic),Vignana Nagar
201MD,Domlur,DRDO 2nd Phase
201MJ,Banashankari,DRDO 2nd Phase
201R (Volvo),CV Raman Nagar,DRDO 2nd Phase
201RC (AC Marcopolo),CV Raman Nagar,Vignana Nagar
201S,Domlur,DRDO 2nd Phase
201U,AGCS Layout,DRDO 2nd Phase
201V,Jayanagar 4th Block,Temple)
211N,K.R.Market,J.P.Nagar 6th Phase
213V,K.R.Market,Jeevanhalli
215Z,K.R.Market,Srinagar
222A,Kempegowda Bus station,Chikkalsandra
222D,K.R.Market,Banashankari
223J,Doddabasti,Bayappanahalli
224L,K.R.Market,Neelsandra
226W,Banashankari,Bidadi
234B,Ullal Satellite Town,Harohalli
235N,Nagarbhavi,Bannerghatta
240P,Sunkadgatte,Kengeri satellite town
248SA/60A,Jalahalli Cross,Kengeri Satellite Town
270H,Jalahalli Cross,Bommanhalli
270HA,Jayanagar 9th block,Konasandra
276G (Volvo),Vidyaranyapura,Bidadi
276N,Vidyaranyapura,Marathahalli
278B,Bhoopasandra,Jayanagar 9th block
279F,Bhoopasandra,BTM Layout
285,Market,Jayanagar 9th block
285 MK,Market,J P Nagar 6th phase
285 M,Majestic,Sharadamba nagar
298 M,Banaswadi,Electronics City
300Q,Indian Telecom Industry (ITI) Colony,Chikkalasandra
301E,Shivajinagar,Jeevan Bhima Nagar
314,KBS (Majestic),Uttarahalli
314A,KBS (Majestic),Rajankunte
314B,KBS (Majestic),Doddballapur
314D,KBS (Majestic),Rajankunte
314E,KBS (Majestic),Devanahalli
314F,K R Market,Padmanabhanagar
314G,KBS (Majestic),Jayanagar 4th block
314H,KBS (Majestic),C V Raman Nagar
314K,C V Raman Nagar,DRDO 2nd Phase
314N,Shivajinagar,C V Raman Nagar

